timestamp,event_type,details
Fri Apr 17 13:09:23 2026,run_start,"map:BasicArena,run:89"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 1.79 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 1.790432333946228, 'backward': inf, 'right': inf, 'left': 1.9976896047592163, 'above': 1.790432333946228, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 1.69 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 1.6850135326385498, 'backward': inf, 'right': inf, 'left': inf, 'above': 1.6850135326385498, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 1.72 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 1.7248259782791138, 'backward': inf, 'right': 1.8969371318817139, 'left': inf, 'above': 1.7248259782791138, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 1.46 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 1.4572221040725708, 'backward': inf, 'right': inf, 'left': 1.4742896556854248, 'above': 1.4572221040725708, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 1.23 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 1.2252130508422852, 'backward': inf, 'right': inf, 'left': inf, 'above': 1.2252130508422852, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 1.18 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 1.1830358505249023, 'backward': inf, 'right': 1.3661564588546753, 'left': inf, 'above': 1.1830358505249023, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 0.81 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 0.8105995655059814, 'backward': inf, 'right': inf, 'left': 0.8692181706428528, 'above': 0.8105995655059814, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 0.72 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 0.7209179401397705, 'backward': inf, 'right': inf, 'left': inf, 'above': 0.7209179401397705, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 0.67 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 0.673487663269043, 'backward': inf, 'right': 0.7675030827522278, 'left': inf, 'above': 0.673487663269043, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 0.27 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 0.270297646522522, 'backward': inf, 'right': inf, 'left': 0.3015868365764618, 'above': 0.270297646522522, 'below': inf}"
Fri Apr 17 13:10:31 2026,Obstacle_Detected,Forward obstacle at 0.22 m
Fri Apr 17 13:10:31 2026,avoidance_start,"zones: {'forward': 0.21660661697387695, 'backward': inf, 'right': inf, 'left': inf, 'above': 0.21660661697387695, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.18 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.18095672130584717, 'backward': inf, 'right': 0.1990133672952652, 'left': inf, 'above': 0.18095672130584717, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.004774965811520815, 'backward': inf, 'right': inf, 'left': inf, 'above': 0.004774965811520815, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.01 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.012132752686738968, 'backward': inf, 'right': 0.012982110492885113, 'left': inf, 'above': 0.012132752686738968, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.04 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.03727942332625389, 'backward': inf, 'right': inf, 'left': 0.04234747216105461, 'above': 0.03727942332625389, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.04 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.03515365719795227, 'backward': inf, 'right': inf, 'left': inf, 'above': 0.03515365719795227, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.04 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.03775821626186371, 'backward': inf, 'right': 0.038334306329488754, 'left': inf, 'above': 0.03775821626186371, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.01 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.014533927664160728, 'backward': inf, 'right': inf, 'left': 0.016407599672675133, 'above': 0.014533927664160728, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.02 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.015224693343043327, 'backward': inf, 'right': inf, 'left': inf, 'above': 0.015224693343043327, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.02 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.016388319432735443, 'backward': inf, 'right': 0.017087247222661972, 'left': inf, 'above': 0.016388319432735443, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.02 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.015235655009746552, 'backward': inf, 'right': inf, 'left': 0.017008965834975243, 'above': 0.015235655009746552, 'below': inf}"
Fri Apr 17 13:10:32 2026,Obstacle_Detected,Forward obstacle at 0.01 m
Fri Apr 17 13:10:32 2026,avoidance_start,"zones: {'forward': 0.01496887393295765, 'backward': inf, 'right': inf, 'left': inf, 'above': 0.01496887393295765, 'below': inf}"
