timestamp,event_type,details
Thu Apr 16 15:55:22 2026,run_start,"map:BasicArena,run:68"
Thu Apr 16 15:55:38 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:55:38 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:10 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:10 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:11 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:11 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:11 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:12 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:12 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:12 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:13 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:13 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:13 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:14 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:14 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:14 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:15 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:15 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:15 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:16 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:16 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:16 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:17 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:17 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:17 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:18 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:18 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:18 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:19 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:19 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:19 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:20 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:20 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:20 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:21 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:21 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:21 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:22 2026,Obstacle_Detected,Forward obstacle at 0.00 m
Thu Apr 16 15:56:22 2026,Obstacle_Detected,Forward obstacle at 0.00 m
