timestamp,event_type,details
Wed Apr 22 17:18:47 2026,run_start,"map:BasicArena,run:110"
Wed Apr 22 17:19:35 2026,Obstacle_Detected,Forward obstacle at 2.96 m
Wed Apr 22 17:19:35 2026,avoidance_start,"zones: {'forward': 2.960629558021677, 'backward': inf, 'right': inf, 'left': inf, 'above': 2.960629558021677, 'below': inf}"
Wed Apr 22 17:19:36 2026,Collision,"Collision Info: {'time_stamp': 48900000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.82553100585938, 'y': -1.8788605302688666e-05, 'z': -3.7362208366394043}, 'impact_point': {'x': 149.3199920654297, 'y': 0.024088356643915176, 'z': -3.82915997505188}, 'normal': {'x': -1, 'y': 3.422854177870249e-08, 'z': 0}, 'penetration_depth': 0}"
Thu Apr 23 15:23:09 2026,run_start,"map:BasicArena,run:110"
Thu Apr 23 15:23:27 2026,command_failure,Up:'>' not supported between instances of 'dict' and 'int'
Thu Apr 23 15:26:58 2026,command_failure,Up:'>' not supported between instances of 'dict' and 'int'
