timestamp,event_type,details
Wed Apr 22 17:16:47 2026,run_start,"map:BasicArena,run:108"
Wed Apr 22 17:17:32 2026,Obstacle_Detected,Forward obstacle at 2.98 m
Wed Apr 22 17:17:32 2026,avoidance_start,"zones: {'forward': 2.975539154788466, 'backward': 8.986731326295075, 'right': 3.440414896732066, 'left': inf, 'above': 2.975539154788466, 'below': 3.8109814412376046}"
Wed Apr 22 17:17:33 2026,Collision,"Collision Info: {'time_stamp': 44946000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.82571411132812, 'y': -1.0770108929136768e-05, 'z': -3.511594533920288}, 'impact_point': {'x': 149.3199920654297, 'y': -0.022497929632663727, 'z': -3.6054980754852295}, 'normal': {'x': -1, 'y': 3.3974824731330955e-08, 'z': 0}, 'penetration_depth': 0}"
Wed Apr 22 17:17:33 2026,Collision,"Collision Info: {'time_stamp': 44955000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.825439453125, 'y': -1.0608780939946882e-05, 'z': -3.511600971221924}, 'impact_point': {'x': 149.3199920654297, 'y': -0.02248755469918251, 'z': -3.604057550430298}, 'normal': {'x': -1, 'y': 3.3974824731330955e-08, 'z': 0}, 'penetration_depth': 0}"
Wed Apr 22 17:17:33 2026,Collision,"Collision Info: {'time_stamp': 44964000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.825439453125, 'y': -8.94045842869673e-06, 'z': -3.5118916034698486}, 'impact_point': {'x': 149.3199920654297, 'y': -0.022487912327051163, 'z': -3.6043455600738525}, 'normal': {'x': -1, 'y': 3.3974824731330955e-08, 'z': 0}, 'penetration_depth': 0}"
Wed Apr 22 17:17:33 2026,Collision,"Collision Info: {'time_stamp': 44970000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.825439453125, 'y': -5.172064902581042e-06, 'z': -3.512319564819336}, 'impact_point': {'x': 149.3199920654297, 'y': -0.022487225010991096, 'z': -3.6047754287719727}, 'normal': {'x': -1, 'y': 3.3974824731330955e-08, 'z': 0}, 'penetration_depth': 0}"
Wed Apr 22 17:17:33 2026,Collision,"Collision Info: {'time_stamp': 44979000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.825439453125, 'y': 5.530313956114696e-06, 'z': -3.5131688117980957}, 'impact_point': {'x': 149.3199920654297, 'y': -0.022482531145215034, 'z': -3.6056249141693115}, 'normal': {'x': -1, 'y': 3.3974824731330955e-08, 'z': 0}, 'penetration_depth': 0}"
Wed Apr 22 17:17:35 2026,Collision,"Collision Info: {'time_stamp': 47433000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.81100463867188, 'y': -0.0023338268510997295, 'z': -3.5086724758148193}, 'impact_point': {'x': 149.3199920654297, 'y': 0.34100988507270813, 'z': -3.4881396293640137}, 'normal': {'x': -1, 'y': 3.422854177870249e-08, 'z': 0}, 'penetration_depth': 0}"
Wed Apr 22 17:17:35 2026,Collision,"Collision Info: {'time_stamp': 47439000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.8109893798828, 'y': -0.0023347605019807816, 'z': -3.5086770057678223}, 'impact_point': {'x': 149.3199920654297, 'y': 0.3410068452358246, 'z': -3.48821759223938}, 'normal': {'x': -1, 'y': 3.422854177870249e-08, 'z': 0}, 'penetration_depth': 0}"
Wed Apr 22 17:17:35 2026,Collision,"Collision Info: {'time_stamp': 47448000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.8109893798828, 'y': -0.0023384029045701027, 'z': -3.5086870193481445}, 'impact_point': {'x': 149.3199920654297, 'y': 0.3410031497478485, 'z': -3.488232374191284}, 'normal': {'x': -1, 'y': 3.422854177870249e-08, 'z': 0}, 'penetration_depth': 0}"
Wed Apr 22 17:17:35 2026,Collision,"Collision Info: {'time_stamp': 47457000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.8109893798828, 'y': -0.0023448329884558916, 'z': -3.508697032928467}, 'impact_point': {'x': 149.3199920654297, 'y': 0.34099674224853516, 'z': -3.4882421493530273}, 'normal': {'x': -1, 'y': 3.422854177870249e-08, 'z': 0}, 'penetration_depth': 0}"
