timestamp,event_type,details
Wed Apr 22 17:10:26 2026,run_start,"map:BasicArena,run:107"
Wed Apr 22 17:11:16 2026,Obstacle_Detected,Forward obstacle at 2.68 m
Wed Apr 22 17:11:16 2026,avoidance_start,"zones: {'forward': 2.681006122879021, 'backward': inf, 'right': inf, 'left': 2.991352554570827, 'above': 2.681006122879021, 'below': 3.806137472639033}"
Wed Apr 22 17:11:17 2026,Collision,"Collision Info: {'time_stamp': 50685000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.83377075195312, 'y': -1.3945801583759021e-05, 'z': -3.4055941104888916}, 'impact_point': {'x': 149.3199920654297, 'y': 9.449295248487033e-06, 'z': -3.534843683242798}, 'normal': {'x': -1, 'y': 3.422854177870249e-08, 'z': 0}, 'penetration_depth': 0}"
Wed Apr 22 17:11:17 2026,Collision,"Collision Info: {'time_stamp': 50691000000, 'object_name': 'StaticMeshActor_5', 'segmentation_id': 83, 'position': {'x': 148.83331298828125, 'y': -1.3945948921900708e-05, 'z': -3.40560245513916}, 'impact_point': {'x': 149.3199920654297, 'y': -0.02199239283800125, 'z': -3.5331687927246094}, 'normal': {'x': -1, 'y': 3.372110768395942e-08, 'z': 0}, 'penetration_depth': 0}"
