timestamp,command,duration_s,status,notes
Mon May 11 23:40:19 2026,Takeoff,0,ok,
Mon May 11 23:40:22 2026,State_Polling,2,ok,
Mon May 11 23:40:25 2026,Forward,3,ok,
Mon May 11 23:40:27 2026,State_Polling,1,ok,
Mon May 11 23:40:32 2026,Right,2,ok,
Mon May 11 23:40:34 2026,State_Polling,1,ok,
Mon May 11 23:40:39 2026,Forward,2,ok,
Mon May 11 23:40:41 2026,State_Polling,1,ok,
Mon May 11 23:40:46 2026,Up,2,ok,
Mon May 11 23:40:48 2026,State_Polling,1,ok,
Mon May 11 23:40:54 2026,Forward,3,ok,
Mon May 11 23:40:56 2026,State_Polling,1,ok,
Mon May 11 23:41:02 2026,Yaw_Left,3,ok,
Mon May 11 23:41:04 2026,State_Polling,1,ok,
Mon May 11 23:41:10 2026,Forward,3,ok,
Mon May 11 23:41:12 2026,State_Polling,1,ok,
Mon May 11 23:41:17 2026,Left,2,ok,
Mon May 11 23:41:19 2026,State_Polling,1,ok,
Mon May 11 23:41:24 2026,Up,2,ok,
Mon May 11 23:41:26 2026,State_Polling,1,ok,
Mon May 11 23:41:32 2026,Yaw_Right,3,ok,
Mon May 11 23:41:34 2026,State_Polling,1,ok,
Mon May 11 23:41:38 2026,Forward,2,ok,
Mon May 11 23:41:41 2026,State_Polling,1,ok,
Mon May 11 23:41:45 2026,Down,2,ok,
Mon May 11 23:41:47 2026,State_Polling,1,ok,
Mon May 11 23:41:52 2026,Backward,2,ok,
Mon May 11 23:41:54 2026,State_Polling,1,ok,
Mon May 11 23:41:59 2026,Right,2,ok,
Mon May 11 23:42:01 2026,State_Polling,1,ok,
Mon May 11 23:42:06 2026,Down,2,ok,
Mon May 11 23:42:08 2026,State_Polling,1,ok,
Mon May 11 23:42:14 2026,Backward,3,ok,
Mon May 11 23:42:16 2026,State_Polling,1,ok,
Mon May 11 23:42:21 2026,Left,2,ok,
Mon May 11 23:42:23 2026,State_Polling,1,ok,
Mon May 11 23:42:29 2026,Yaw_Left,3,ok,
Mon May 11 23:42:31 2026,State_Polling,1,ok,
Mon May 11 23:42:36 2026,Backward,2,ok,
Mon May 11 23:42:38 2026,State_Polling,1,ok,
Mon May 11 23:42:44 2026,Yaw_Right,3,ok,
Mon May 11 23:42:48 2026,State_Polling,2,ok,
