timestamp,x,y,z,w,orient_x,orient_y,orient_z,collision,front_range_cm,bottom_range_cm
Thu Apr  9 15:27:59 2026,-1.856680434397795e-11,-1.4834864893295872e-16,-1.6040421724319458,1,0,0,0,False,,
Thu Apr  9 15:28:04 2026,5.995388984680176,5.218104774940002e-07,-2.677156686782837,0.9995307326316833,-8.804833306896853e-09,-0.03063109517097473,8.469539736211118e-09,False,,
Thu Apr  9 15:28:08 2026,7.6561713218688965,-0.30590400099754333,-2.7380197048187256,0.5458593964576721,0.01383273396641016,0.033216219395399094,-0.8371039032936096,False,,
Thu Apr  9 15:28:13 2026,13.818934440612793,-0.13871131837368011,-3.850738048553467,0.6790714859962463,0.022261209785938263,-0.020862074568867683,-0.7334378957748413,False,,
Thu Apr  9 15:28:18 2026,18.25900650024414,-0.5338115692138672,-4.078306198120117,0.7018535137176514,-0.0014833207242190838,0.0027677544858306646,-0.7123143672943115,False,,
Thu Apr  9 15:28:23 2026,24.273841857910156,-0.5470999479293823,-5.155645370483398,0.7038748860359192,0.021997157484292984,-0.021834760904312134,-0.709647536277771,False,,
Thu Apr  9 15:28:28 2026,28.77113151550293,-0.5892502665519714,-5.38545560836792,0.7065461277961731,-0.0019171572057530284,0.002048523398116231,-0.7076613903045654,False,,
Thu Apr  9 15:28:32 2026,34.81534194946289,-0.5906848907470703,-6.462874412536621,0.7064703106880188,0.021753448992967606,-0.02173662930727005,-0.7070743441581726,False,,
Thu Apr  9 15:28:37 2026,39.27311325073242,-0.5946541428565979,-6.726215362548828,0.7070443630218506,-0.0022963061928749084,0.002306721406057477,-0.7071618437767029,False,,
Thu Apr  9 15:29:12 2026,39.30287170410156,-0.5946499109268188,-2.6422488689422607,0.7070328593254089,0.0014218195574358106,-0.000230077508604154,-0.7071792483329773,False,,
