timestamp,x,y,z,w,orient_x,orient_y,orient_z,collision,front_range_cm,bottom_range_cm
Mon May 11 23:35:19 2026,-1.856680434397795e-11,-1.4834864893295872e-16,-1.5640474557876587,1,0,0,0,0,,
Mon May 11 23:35:22 2026,-1.856680434397795e-11,-1.4834864893295872e-16,-1.558552622795105,1,0,0,0,0,,
Mon May 11 23:35:23 2026,-1.856680434397795e-11,-1.4834864893295872e-16,-1.5732465982437134,1,0,0,0,0,,
Mon May 11 23:35:26 2026,0.042899493128061295,6.4881677808159566e-09,-1.657889723777771,0.9813621640205383,5.5961855593977816e-08,-0.1921674907207489,4.173215994995871e-09,0,,
Mon May 11 23:35:28 2026,0.9598334431648254,0.04453651234507561,-1.7482763528823853,0.9959035515785217,0.08963822573423386,0.011660179123282433,-0.0022758443374186754,0,,
Mon May 11 23:35:34 2026,1.0229406356811523,7.361677169799805,-2.9517908096313477,0.9994826912879944,0.03206862136721611,-8.061390872171614e-06,-0.0024507627822458744,0,,
Mon May 11 23:35:36 2026,1.0160521268844604,9.739017486572266,-3.0355491638183594,0.993212878704071,-0.1162799596786499,-0.0002693203859962523,-0.0026657411362975836,0,,
