timestamp,x,y,z,w,orient_x,orient_y,orient_z,collision,front_range_cm,bottom_range_cm
Thu Apr 16 15:27:52 2026,-1.856680434397795e-11,-1.4834864893295872e-16,-1.5522031784057617,1,0,0,0,False,,
Thu Apr 16 15:28:25 2026,94.69821166992188,-9.508660696155857e-06,-2.6077709197998047,0.9999945163726807,-2.374482299671854e-08,-0.003319529350847006,-9.799700606549777e-09,False,,
Thu Apr 16 15:28:52 2026,140.26182556152344,-1.6201918697333895e-05,-3.6710000038146973,0.9999945163726807,2.7054007034621463e-08,-0.003317862981930375,-4.800893904643999e-08,False,,
