timestamp,x,y,z,w,orient_x,orient_y,orient_z,collision,front_range_cm,bottom_range_cm
Thu Apr  9 11:15:25 2026,-1.856680434397795e-11,-1.4834864893295872e-16,-1.5507222414016724,1,0,0,0,False,,
Thu Apr  9 11:15:30 2026,5.981634140014648,8.228598176174273e-07,-2.624764919281006,0.9995270371437073,-7.159056902850125e-09,-0.030752956867218018,-1.0136503192370583e-08,False,,
Thu Apr  9 11:15:35 2026,7.204007148742676,-0.3236658573150635,-2.592956066131592,0.5399386286735535,0.017687559127807617,0.03630589321255684,-0.8407349586486816,False,,
Thu Apr  9 11:15:39 2026,13.382540702819824,-0.1130412295460701,-3.6998631954193115,0.6755391955375671,0.022424466907978058,-0.020809689536690712,-0.7366891503334045,False,,
Thu Apr  9 11:15:44 2026,17.831186294555664,-0.6180382966995239,-3.8882436752319336,0.7012108564376831,-0.0009078545263037086,0.0027720830403268337,-0.7129479646682739,False,,
Thu Apr  9 11:15:49 2026,23.84120750427246,-0.6343528032302856,-4.966011047363281,0.7036169171333313,0.02200634591281414,-0.021830305457115173,-0.7099031805992126,False,,
Thu Apr  9 11:15:53 2026,28.351106643676758,-0.6868616938591003,-5.154783248901367,0.7064990401268005,-0.0015300048980861902,0.0017156862886622548,-0.707710325717926,False,,
Thu Apr  9 11:15:58 2026,34.3633918762207,-0.6885613203048706,-6.232483386993408,0.7064470052719116,0.021925777196884155,-0.021907871589064598,-0.7070870399475098,False,,
Thu Apr  9 11:16:03 2026,38.87064743041992,-0.6937711834907532,-6.430881023406982,0.7070431709289551,-0.0016949501587077975,0.001713135396130383,-0.707166314125061,False,,
Thu Apr  9 11:16:32 2026,38.892608642578125,-0.6938914656639099,-2.6820287704467773,0.7070181965827942,0.0014218504074960947,-0.0002529137709643692,-0.7071939706802368,False,,
